step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
5000,train,2.123025513,0.0009973235037,0.2061991096,122880000,778.9429853,6.418955038,157752.239,,,,,,,
5000,eval,2.123025513,0.0009973235037,,122880000,778.9481924,,,2.055251315,7.808800094,2.058795842,0.4078162968,361322,520380,2.055251315
5050,train,2.141846404,0.0009972594428,0.1997279823,124108800,787.9077749,6.409379576,157516.9124,,,,,,,
5100,train,2.132840905,0.0009971946264,0.1929902732,125337600,795.0891058,6.414375398,157639.6898,,,,,,,
5150,train,2.103888447,0.0009971290546,0.200500831,126566400,802.5191944,6.417291993,157711.368,,,,,,,
5200,train,2.124862487,0.0009970627276,0.1844924092,127795200,810.0144081,6.419638895,157769.0455,,,,,,,
5250,train,2.120249109,0.0009969956455,0.2074082345,129024000,817.4690537,6.422261462,157833.4977,,,,,,,
5300,train,2.105548403,0.0009969278083,0.1895194799,130252800,824.9375689,6.42472861,157894.1303,,,,,,,
5350,train,2.107984278,0.0009968592162,0.2042346299,131481600,833.0946498,6.421839345,157823.1237,,,,,,,
5400,train,2.079059522,0.0009967898693,0.1805877984,132710400,841.171474,6.419618552,157768.5455,,,,,,,
5450,train,2.109754732,0.0009967197676,0.2226973772,133939200,849.0773814,6.418731814,157746.7531,,,,,,,
5500,train,2.116896195,0.0009966489114,0.2031643838,135168000,856.9843178,6.41785373,157725.1733,,,,,,,
5550,train,2.124342153,0.0009965773006,0.1881909519,136396800,864.6418679,6.418842536,157749.4742,,,,,,,
5600,train,2.116878216,0.0009965049355,0.2698558867,137625600,872.3148308,6.419700551,157770.5607,,,,,,,
5650,train,2.111445422,0.000996431816,0.1879562885,138854400,880.1047285,6.419690541,157770.3147,,,,,,,
5700,train,2.12242599,0.0009963579424,0.1795782596,140083200,887.8577485,6.41994735,157776.6261,,,,,,,
5750,train,2.129614749,0.0009962833148,0.2090644389,141312000,895.3913651,6.421772897,157821.4907,,,,,,,
5800,train,2.114203,0.0009962079332,0.2144300938,142540800,902.8867552,6.423839941,157872.2904,,,,,,,
5850,train,2.104038556,0.0009961317978,0.2520228922,143769600,910.56196,6.424603989,157891.0676,,,,,,,
5900,train,2.10267947,0.0009960549087,0.1846800596,144998400,918.247489,6.425283021,157907.7555,,,,,,,
5950,train,2.092899511,0.000995977266,0.1909802258,146227200,925.6787951,6.427715566,157967.5377,,,,,,,
6000,train,2.106920094,0.0009958988699,0.2012076527,147456000,933.1740663,6.429668608,158015.5357,,,,,,,
6050,train,2.090295858,0.0009958197204,0.1926038563,148684800,940.6992242,6.43138619,158057.747,,,,,,,
6100,train,2.100186002,0.0009957398177,0.1757402867,149913600,948.3486712,6.432233402,158078.5681,,,,,,,
6150,train,2.089345121,0.0009956591619,0.1983473152,151142400,956.5560679,6.429314711,158006.8383,,,,,,,
6200,train,2.114557219,0.0009955777531,0.2507534921,152371200,964.790168,6.42626781,157931.9577,,,,,,,
6250,train,2.06758342,0.0009954955915,0.2171806991,153600000,972.9545228,6.423732922,157869.6603,,,,,,,
6300,train,2.095595763,0.0009954126772,0.1852647811,154828800,980.6699376,6.424179796,157880.6427,,,,,,,
