step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
4150,train,1.901191287,0.0003798481914,0.2845180333,135987200,1040.535858,3.988329637,130689.5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,train,1.884270401,0.0003792528985,0.2778911293,137625600,1052.746928,3.989562817,130729.9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250,train,1.869363639,0.0003786494313,0.3297774196,139264000,1064.966053,3.990737533,130768.4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,train,1.888702323,0.000378037818,0.2648447156,140902400,1077.194883,3.991849634,130804.9288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4350,train,1.861517174,0.0003774180871,0.301104188,142540800,1089.421529,3.992944775,130840.8144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,train,1.863561885,0.0003767902676,0.2722307146,144179200,1101.64557,3.994025049,130876.2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,train,1.889863532,0.0003761543886,0.3022887707,145817600,1113.848772,3.995156356,130913.2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,train,1.861564884,0.00037551048,0.2781991661,147456000,1128.962509,3.98596053,130611.9546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,eval,1.861564884,0.00037551048,,147456000,1128.967583,,,1.762043091,5.82432487,1.765081945,0.4934103099,361322,520380,1.762043091,54.71584015,0.7688312494,0.9321725642,0.7634590164,1.072762746,True,0.7624230756,0.817845328,0.9097503736,0.8494835197,0.8151343557,0.8312542548,0.6268609019,0.863185087,0.6490003938,0.7767119185,0.8287563608,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,54.71584015,0.483515625,0.45072,1.658091891,1.973114757,0.717265625,0.762275,9.6703125,9.0144,0.3560056747,0.2377351828,27.75,41.196,16,0,0.0008033431692,58.56573439,,,,,,
4550,train,1.873944623,0.0003748585717,0.2699235976,149094400,1206.307274,3.771841633,123595.7066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,train,1.873970838,0.0003741986941,0.3011113107,150732800,1218.515827,3.775084327,123701.9632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,train,1.869445987,0.000373530878,0.3291896284,152371200,1230.708504,3.778311423,123807.7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,train,1.867989225,0.0003728551545,0.2920918167,154009600,1242.901204,3.781475137,123911.3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,train,1.862105014,0.0003721715552,0.2715941966,155648000,1255.113993,3.784516807,124011.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,train,1.858794754,0.0003714801119,0.2779877484,157286400,1267.346582,3.787440679,124106.8562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,train,1.851144183,0.000370780857,0.2882142663,158924800,1286.389606,3.770241907,123543.2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900,train,1.848909175,0.0003700738229,0.2848491073,160563200,1298.59283,3.77331515,123643.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950,train,1.866271186,0.0003693590428,0.289101243,162201600,1310.814828,3.776277086,123741.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,train,1.848951037,0.0003686365499,0.263027817,163840000,1323.050987,3.779143851,123834.9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,train,1.855591955,0.0003679063779,0.2556062341,165478400,1335.291673,3.781945251,123926.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,train,1.854532313,0.0003671685609,0.285364002,167116800,1347.499777,3.784787269,124019.9092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,train,1.83208504,0.0003664231333,0.2750022411,168755200,1359.699227,3.78760236,124112.1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,train,1.844906623,0.0003656701298,0.2483672798,170393600,1371.943099,3.790244656,124198.7369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,train,1.858527694,0.0003649095857,0.2900806665,172032000,1384.173764,3.792876397,124284.9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,train,1.841617889,0.0003641415363,0.2537317276,173670400,1396.403947,3.795463347,124369.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
