step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,bce,reg_l1,reg_l2,kl,flux,stop,bits_per_step,n_valid,val_nll,val_bpt,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_f1_best,val_frame_best_threshold,val_frame_precision_best,val_frame_recall_best,val_n_frames,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds
1350,train,0.1727483451,0.0002891780132,0.1700006872,22118400,146.1017509,9.240135674,151390.3829,0.09258084744,0.05894990638,0.04660687968,0.08194802701,-0.01717649773,0.01528566517,4.023829937,15924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,0.1703990906,0.0002878847044,0.06908486038,22937600,150.4046383,9.308223576,152505.9351,0.07457045466,0.04928727448,0.03779929504,0.07160690427,-0.0158330258,0.008642999455,3.433374643,15668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,eval,0.1703990906,0.0002878847044,,22937600,150.4084764,,,,,,,,,,,2.534501526,3.656512783,0.2341269841,0.0003490483994,0.00069705759,0.09881885974,0.12,0.06590946808,0.1973661636,369353,2.534501526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,0.1736772183,0.0002865218244,0.0562640056,23756800,168.7666855,8.591743067,140767.1184,0.07650689036,0.04866424575,0.03749034926,0.06413624436,-0.01530042663,0.0343741253,3.449907064,14318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,0.1730927676,0.0002850901005,0.09041331708,24576000,174.9988573,8.571484543,140435.2027,0.08865638822,0.05867414176,0.0455500558,0.08243855089,-0.0182243865,0.01576918177,4.017710686,15954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,0.1666164291,0.0002835902966,0.0656253621,25395200,179.3136051,8.644073602,141624.5019,0.07075063884,0.04375233501,0.03399035707,0.05707574263,-0.01349166594,0.02985955961,3.125339746,13533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,0.1668064061,0.0002820232129,0.07033783197,26214400,183.6206236,8.713618159,142763.9199,0.07902250439,0.05139541253,0.03917036578,0.06858307123,-0.01653067395,0.03297043592,3.627035618,14515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,0.1731207353,0.0002803896857,0.1004105955,27033600,187.9411492,8.779343995,143840.772,0.06604380161,0.04350150004,0.03289081156,0.06090512872,-0.01429044083,0.0105868699,3.07502389,15798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,0.1677211976,0.0002786905865,0.05984210595,27852800,192.2310317,8.843525342,144892.3192,0.06972972304,0.04461381584,0.03437610343,0.056133084,-0.01408183761,0.0246298071,3.152582645,16080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,0.1695926428,0.000276926822,0.1519373208,28672000,196.5140817,8.905214246,145903.0302,0.06979499757,0.04270314798,0.03421486914,0.0578545481,-0.01224778872,0.02338089608,2.97463274,15277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,0.1720930028,0.0002750993333,0.07990965992,29491200,200.8040323,8.963963418,146865.5766,0.06959016621,0.04235278815,0.03323150426,0.05333215743,-0.01292381808,0.02815090492,3.047382832,15503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,0.1727850801,0.0002732090954,0.2370589525,30310400,205.0879865,9.020518617,147792.177,0.09169701487,0.05591675267,0.04519886151,0.06144792587,-0.01566682756,0.02759395912,3.861913681,14444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,0.1690433216,0.0002712571171,0.1438302398,31129600,209.3719778,9.074757854,148680.8327,0.07957246155,0.05096575618,0.040342886,0.06861022115,-0.01513494086,0.04109243676,3.484279156,14503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,train,0.1710296835,0.0002692444398,0.05964044109,31948800,213.6541371,9.126900261,149535.1339,0.07840801775,0.05238860846,0.04002159089,0.06725043058,-0.01699645072,0.02471267432,3.630976439,14843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,train,0.1707190263,0.0002671721375,0.1325446963,32768000,217.9389796,9.176880627,150354.0122,0.07034055144,0.04721545428,0.03525213525,0.06323353946,-0.01594385132,0.009574831463,3.347198248,15369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,train,0.1707406348,0.000265041316,0.04143386334,33587200,222.2406998,9.224233015,151129.8337,0.06705632061,0.04384518042,0.03359239176,0.05930414051,-0.01410756912,0.01194612775,3.069717169,15063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,train,0.1699961573,0.0002628531121,0.08960489184,34406400,226.5458796,9.269645529,151873.8723,0.08205370605,0.05378003046,0.04092854634,0.06383799016,-0.01744926162,0.02181086317,3.796976566,14219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,eval,0.1699961573,0.0002628531121,,34406400,226.5497489,,,,,,,,,,,2.423301777,3.496085456,0.2334384858,0.003064526625,0.006049635036,0.1170590386,0.12,0.0785966236,0.2292419734,369353,2.423301777,2.068390856,0.1990693402,0.1039030347,1,9.624357972,True,0.4173490478,0.8776970363,0.3953694882,0.2209742189,0.8276643028,0.6742625071,-0.5,-0.5,-0.5,0.8081318828,0.5037748057,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,2.068390856,4.337890625,0.45072,4.464436802,1.973114757,0.028515625,0.762275,86.7578125,9.0144,0,0.2377351828,75.125,41.196,16,0,0,18.22525573
2150,train,0.1664915657,0.0002606086935,0.06875468045,35225600,255.9337831,8.400610401,137635.6008,0.08251023293,0.05548034236,0.04287211597,0.07064761966,-0.01759564504,0.02492660657,3.787026167,14019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,train,0.1647600433,0.0002583092578,0.09816594422,36044800,260.2204494,8.454370149,138516.4005,0.07248858362,0.0502040945,0.03784814849,0.07318644971,-0.01689550467,0.01225524582,3.470046043,15401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,train,0.169514412,0.0002559560319,0.1141745523,36864000,264.510828,8.50626803,139366.6954,0.06559748203,0.04054428637,0.03206726909,0.04663076624,-0.01213357504,0.02562013455,2.852974892,14871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,train,0.1695365772,0.0002535502715,0.04900779948,37683200,268.8032949,8.556442736,140188.7578,0.07038650662,0.04735501483,0.03629315272,0.05731735006,-0.01520960126,0.01688190177,3.255877018,15169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,train,0.1659464666,0.0002510932602,0.05852345005,38502400,273.1001403,8.604902206,140982.7177,0.07634529471,0.05026297271,0.03850335628,0.06638078392,-0.01623457298,0.03840272129,3.520880699,13252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,train,0.1674459665,0.0002485863091,0.145866245,39321600,277.3962975,8.651881882,141752.4327,0.08499448746,0.05827508122,0.04571969807,0.06659951806,-0.01795121841,0.01462797076,3.866519928,15030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,train,0.1662203035,0.0002460307558,0.0656408295,40140800,281.6924391,8.69742904,142498.6774,0.05898254365,0.03836095333,0.02962198667,0.05188505352,-0.01219814364,0.04264057428,2.681386948,12534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,train,0.1646533561,0.0002434279639,0.06835018843,40960000,285.9888992,8.741598037,143222.3422,0.07482597232,0.04890081659,0.03800629079,0.06434163451,-0.01513719931,0.04597268999,3.370837688,12015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,train,0.1700001568,0.0002407793222,0.04427303001,41779200,290.2845511,8.784484017,143924.9861,0.07052449137,0.04615187645,0.03564715385,0.05095474795,-0.01453145314,0.03298544511,3.206348658,13591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,train,0.1674809143,0.000238086244,0.2216928899,42598400,294.5763981,8.82623325,144609.0056,0.06991872936,0.04522772133,0.03625469655,0.05331010371,-0.01298078056,0.02685668692,3.016738653,14992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,train,0.1668040386,0.0002353501664,0.06708681583,43417600,298.8668299,8.866825406,145274.0674,0.07198353112,0.04651672766,0.03632545471,0.06124922633,-0.01445059292,0.03102981485,3.238366842,14165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,train,0.1664655477,0.0002325725491,0.1655631959,44236800,303.1593215,8.906208083,145919.3132,0.08164925128,0.05484826118,0.04313905537,0.06807499379,-0.01658190787,0.01494811755,3.655369997,15875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,train,0.1629457913,0.0002297548744,0.06244192272,45056000,307.4490523,8.944571398,146547.8578,0.07274100184,0.05096613988,0.03909398243,0.06595385075,-0.01645184308,0.0191798415,3.408806801,15712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,train,0.1650008121,0.0002268986456,0.229811281,45875200,311.7362156,8.981952882,147160.316,0.07178582251,0.04509290308,0.03640975058,0.05948846787,-0.0127326306,0.02583944984,3.044700861,14445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,eval,0.1650008121,0.0002268986456,,45875200,311.7399132,,,,,,,,,,,2.378059885,3.430815203,0.2539849822,0.01140619176,0.02183193487,0.1347568769,0.18,0.1057934254,0.1855576788,369353,2.378059885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,train,0.1582098736,0.0002240053868,0.07733376324,46694400,321.6853044,8.859590292,145155.5273,0.07732113451,0.05247876048,0.04067889974,0.06472666562,-0.01641617715,0.01269763336,3.545597553,15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,train,0.1673944229,0.0002210766419,0.0824201405,47513600,325.9526994,8.89699642,145768.3894,0.06905339658,0.04582503811,0.03482720256,0.05611415952,-0.01528322324,0.03663014993,3.250487804,13884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,train,0.1666760662,0.0002181139734,0.07566745579,48332800,330.2313795,8.933130475,146360.4097,0.0778485015,0.05450370908,0.04116179422,0.07050964236,-0.0181274116,0.009927848354,3.725361109,16381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,train,0.1626816085,0.0002151189624,0.08152061701,49152000,334.5154965,8.968194393,146934.8969,0.07448693365,0.04907340556,0.03812510148,0.06997361034,-0.01528497878,0.02595382556,3.369978905,14726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,train,0.1632314017,0.0002120932068,0.1238326058,49971200,338.7989819,9.002388327,147495.1304,0.07577285916,0.05485105515,0.04093591869,0.07382909209,-0.01893310808,0.04955534637,3.742101669,13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,train,0.1626729871,0.0002090383211,0.2413914651,50790400,343.1097569,9.035009752,148029.5998,0.06972011924,0.0525229685,0.0380541794,0.07456028461,-0.01920222491,0.02451627888,3.623082399,14619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,train,0.1602334341,0.0002059559354,0.2247958481,51609600,347.4138758,9.06699536,148553.652,0.06956070662,0.0435154289,0.03515504673,0.05096532032,-0.01240625139,0.02030152455,2.962828159,15005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
